title,imageUrl,promptEn,promptCh,sourceUrl
前卫奢华美妆广告大片,https://img.opennana.com/prompts/assets/202604/1777290186135-gsrocuc3-1777290188310-1.jpeg,"Avant-garde luxury beauty campaign, oversized sculptural red lipstick posed as monumental pedestal, elegant female model standing atop the lipstick bullet in a dramatic black asymmetrical evening gown with thigh-high slit, one hand on hip in powerful couture pose, giant word “BOLD” in oversized black serif typography behind, monochrome crimson studio backdrop, glossy reflective floor, ultra-clean fashion editorial composition, cinematic luxury beauty advertising lighting, high contrast, museum-like minimalism, premium campaign aesthetic, 1:1",前卫奢华美妆广告，巨大的雕塑感红唇膏被摆放成宏伟的底座，优雅的女性模特站在唇膏膏体的顶端，穿着引人注目的黑色不对称晚礼服，带有高开衩，单手叉腰摆出充满力量的高级定制姿势，身后是巨大的黑色衬线字体单词“BOLD”，单色深红影棚背景，光滑的反射地面，超干净的时尚大片构图，电影级奢华美妆广告灯光，高对比度，博物馆般的极简主义，高级广告美学，1:1,https://opennana.com/awesome-prompt-gallery/avant-garde-luxury-beauty
视觉丰富的人物信息图设计,https://img.opennana.com/prompts/assets/202604/1777290364770-ne9lfels-1777290368196-1.jpeg,"Create a visually rich infographic about [PERSON NAME]. Start by researching his life, major achievements, career milestones, philosophy, and unique impact on technology and design. Present information through annotated visuals and structured callouts, not generic sections. Style it like a bold graphic illustration: a detailed, photorealistic central portrait as the focal point, supported by timelines, diagrams, product references, quotes, and concise text elements. Use clean backgrounds and a mix of photorealism with strong graphic elements (shapes, icons, color blocking) in a layered composition. Make it dense, tactile, and professionally authored.",创建一个关于 [PERSON NAME] 的视觉丰富的信息图。首先研究他的生平、主要成就、职业里程碑、理念以及对科技和设计的独特影响。通过带有注释的视觉元素和结构化的标注来呈现信息，而不是普通的版块。风格类似于大胆的图形插画：以一幅详细的、照片般逼真的中心肖像作为视觉焦点，辅以时间轴、图表、产品参考、引言和简洁的文本元素。使用干净的背景，在分层构图中将照片般逼真与强烈的图形元素（形状、图标、色块）混合在一起。使其具有密集感、触感，并且看起来是专业创作的。,https://opennana.com/awesome-prompt-gallery/visually-rich-character-infographic
暗调情绪风手机广告大片,https://img.opennana.com/prompts/assets/202604/1777215220752-m2i1rmld-1777215227144-1.jpeg,"A hyperrealistic Apple iPhone 17 Pro Max advertisement shot in a dark, moody editorial style. A young stylish woman with a warm complexion and soft upswept brunette hair, wearing a dusty mauve velvet off-shoulder mini dress, thigh-high taupe suede heeled boots, and a thin black choker necklace, is captured mid-pose extending her arm forward holding an iPhone 17 Pro Max toward the camera in a confident selfie gesture. The phone — featuring a titanium Desert Sand finish with a flush quad-lens camera system and a edge-to-edge ProMotion display glowing with vivid color — dominates the center of the frame. The composition uses shallow depth of field with tack-sharp focus on the phone screen and extended arm, soft cinematic blur on the background figure. The near-black charcoal background is layered with subtle urban texture — faint graffiti strokes in electric yellow and muted olive barely visible through a heavy dark vignette. Multiple rows of ultra-small all-caps typographic text orbit the phone at different angles reading phrases like ""EVERY ANGLE. EVERY MOMENT. EVERY YOU."" and ""THE SHOT YOU NEVER MISS"" — some running vertically, some at 30-degree angles, creating a chaotic yet intentional graphic zine energy. At the upper right, the Apple logo appears in clean brushed silver against the dark background. At the top center, a thin horizontal navigation-style text bar reads ""PRO CAMERA · TITANIUM BUILD · BEYOND INTELLIGENCE"" in spaced all-caps serif font. A large commanding headline is placed center-right — ""CAPTURE"" in massive ultra-bold white letters followed by ""EVERYTHING"" in lighter weight creating dramatic type hierarchy. Small yellow plus (+) symbols and diagonal arrows (↗) scattered throughout as accent details. Bottom left features a bold slogan lockup: ""YOUR WORLD. YOUR FRAME."" in large bold sans-serif white text with a thin subline reading ""The most powerful iPhone ever made. Every selfie is a cinematic moment."" The overall lighting is dramatic and directional — a single cold key light from the upper left causing the titanium frame to shimmer, the ProMotion display to glow, and the velvet dress to catch a soft warm sheen against the darkness. Photorealistic. Commercial photography quality. High contrast. 4K resolution. 3:4 vertical format optimized for social media.",一张超写实的苹果 iPhone 17 Pro Max 广告镜头，采用暗调、情绪化的杂志大片风格。一位年轻时尚的女性，拥有暖色调肤色和柔和向上盘起的深棕色头发，穿着灰粉色天鹅绒露肩超短裙、灰褐色及膝麂皮高跟靴和一条纤细的黑色颈圈项链，被捕捉到正在摆姿势，向前伸出手臂，以自信的自拍手势将一部 iPhone 17 Pro Max 举向镜头。这部手机——采用钛金属沙漠色饰面，配备平齐式四镜头相机系统，以及闪烁着生动色彩的边到边 ProMotion 显示屏——占据了画面的中心位置。构图使用浅景深，对手机屏幕和伸出的手臂具有极其锐利的焦点，对背景人物使用柔和的电影级模糊。近乎黑色的炭灰色背景层叠着微妙的都市纹理——微弱的电黄色和柔和橄榄色的涂鸦笔触，透过浓重的暗角勉强可见。多排超小号的全大写排版文字以不同角度环绕手机，阅读诸如“EVERY ANGLE. EVERY MOMENT. EVERY YOU.”和“THE SHOT YOU NEVER MISS”的短语——有些垂直排列，有些呈30度角，创造出一种混乱却又刻意的图形杂志能量。在右上方，苹果标志以干净的拉丝银色出现在黑暗的背景上。在顶部中心，一条纤细的水平导航风格文本栏以带间距的全大写衬线字体写着“PRO CAMERA · TITANIUM BUILD · BEYOND INTELLIGENCE”。一个醒目的大标题放置在中心偏右——“CAPTURE”以巨大的超粗体白色字母呈现，随后是较细字重的“EVERYTHING”，营造出戏剧性的字体层级。小型黄色加号（+）符号和对角线箭头（↗）作为强调细节散布在各处。左下角具有醒目的标语组合：以大号粗体无衬线白色文字显示的“YOUR WORLD. YOUR FRAME.”，下方有一条细线写着“The most powerful iPhone ever made. Every selfie is a cinematic moment.”整体光照具有戏剧性且带有方向感——来自左上方的一道冷色主光使得钛金属边框闪烁，ProMotion 显示屏发光，并让天鹅绒裙子在黑暗中捕捉到柔和温暖的光泽。照片级真实感。商业摄影品质。高对比度。4K 分辨率。针对社交媒体优化的 3:4 垂直格式。,https://opennana.com/awesome-prompt-gallery/dark-moody-phone-ad
图穷匕见古风电影票根设计,https://img.opennana.com/prompts/assets/202604/1777215746254-0sunw80x-1777215757207-1.jpeg,"Jing Ke assassinating the King of Qin movie ticket stub, dagger map unfolding pattern, copywriting ""When the map is unrolled, the dagger is revealed""","荆轲刺秦电影票根，匕首地图展开图案，文案""图穷匕见""",https://opennana.com/awesome-prompt-gallery/ancient-dagger-reveal-ticket-stub
粉彩御窑杨贵妃赏牡丹,https://img.opennana.com/prompts/assets/202604/1777215853834-r52y2qws-1777215857702-1.jpeg,"Famille rose porcelain Yang Guifei admiring a flower vase, peony and butterfly famille rose, imperial kiln style",粉彩瓷器杨贵妃赏花瓶，牡丹蝴蝶粉彩，皇家御窑风格,https://opennana.com/awesome-prompt-gallery/imperial-yang-guifei-peony
慈禧太后御用翡翠朝珠设计,https://img.opennana.com/prompts/assets/202604/1777215775950-1qh3e3mx-1777215786789-1.jpeg,"Empress Dowager Cixi jadeite court beads design, 108 jadeite beads with stupa and back cloud, imperial court royal grade",慈禧翡翠朝珠设计，108颗翡翠珠配佛塔背云，宫廷御用级,https://opennana.com/awesome-prompt-gallery/cixi-imperial-jadeite-necklace
人像照片的专业发型分析,https://img.opennana.com/prompts/assets/202604/1777217653046-zjbwohr3-1777217663321-1.jpeg,,"你是一位兼具国际审美、发型专业知识、人物形象诊断能力、版式设计能力与高情商表达能力的顶级发型顾问兼视觉总监。请基于用户上传的人像照片，生成一张高端发型分析海报、发型咨询报告、发型诊断提案。

这不是普通拼图，也不是廉价模板，而是一张可以直接用于咨询展示、打印传单、社交媒体分享、门店服务展示的海报级作品。整张图必须让人一眼觉得专业、现代、明亮、可信、科学，并且推荐逻辑必须真正成立，不能为了凑数量而乱推荐。

核心任务

请基于用户上传的人像照片，做一份“十二个推荐发型”的专业分析报告。不要设置黑榜，不要做带冒犯感的否定性内容。整套推荐必须建立在真实可行、审美先进、理论充分、因人而异的基础上。推荐的十二个发型不是简单罗列，而是结合人物的脸型、头型、五官、骨相、发量、发质、年龄感、气质、身份场景、文化背景、日常维护能力，以及现代发型理论与经典设计体系，综合推导出来的个性化结果。

最重要的优化原则

准确性优先于数量装饰。每一个推荐都必须有明确依据。
不要为了显得时髦而强行给出夸张、先锋、实验性、极难驾驭的发型，除非人物本身条件与风格真的非常适合。
不要只看脸型，要综合“轮廓结构、头型结构、发质条件、气质风格、实操可行性、维护成本”。
如果某类发型理论上成立，但对当前人物的发量、发际线、头型、年龄气质、生活场景并不友好，就不要作为优先推荐。
推荐逻辑必须像真正的资深发型师和形象顾问，而不是像网络模板文章。
十二个推荐发型之间必须有清晰差异，但都要保持“适合本人”这个大前提，不能出现明显不靠谱的尝试项。
整张报告既要有审美，也要有科学性，还要有现实可执行性。

理论与分析基础

请综合以下理论框架进行智能判断，并将这些内容转化为通俗、可信、专业、易读的结果，不要空洞堆术语，但要让人感受到专业深度。

第一类，脸型与头型分析理论。包括脸部横纵比例、头型顶部高度、后脑饱满度、头包脸关系、面部重心、横向量感、纵向延展感、轮廓松紧关系。

第二类，五官与骨相结构观察。包括额头宽度、太阳穴状态、颧骨存在感、面中部比例、下颌线、下巴走势、面部转折、软组织覆盖感、骨相清晰度。

第三类，发型设计原理。包括顶部重心控制、两侧收缩、纵向拉伸、横向平衡、轮廓修饰、体积设计、层次分布、轻重关系、刘海逻辑、发尾处理、空气感、纹理感、结构感。

第四类，发质与发量逻辑。包括细软发、粗硬发、自然卷、扁塌、毛躁、浓密、稀疏、油性倾向、蓬松能力、支撑能力、对烫染与定型的适配度。

第五类，气质风格分析。包括清爽、温柔、知性、利落、英气、成熟、年轻、优雅、可爱、酷感、职业感、艺术感、松弛感、精致感、亲和感等。

第六类，现代发型趋势与经典设计思想。可参考现代日韩潮流、国际沙龙设计趋势，以及经典剪裁理念、几何造型原则、个性化修饰原则，但不要机械点名堆砌，要把这些理论真正转化成更精准的推荐结果。

第七类，现实可行性原则。包括当前发长是否能直接实现、是否需要蓄长、是否适合烫发、是否建议染发、维护难度、复刻难度、适用场景与日常投入成本。

人物理解原则

用户上传的人可能是男性、女性、儿童、青少年、成年人、中老年人，也可能来自不同国家、民族与文化背景。请根据具体照片智能判断，不可套用单一模板，不可一概而论。不要把任何一类人群粗暴归纳为固定发型结论。必须做到“这个人就是这个人”，针对具体人物做具体分析。

高情商表达要求

整张报告不能冷冰冰，也不能像在挑毛病。请先基于照片中的人物特点，给出一段简短但真诚、专业、有分寸、有情商的优点解读。要让对方感受到被理解、被尊重、被欣赏。可以夸赞对方的五官协调度、轮廓辨识度、精神面貌、气质方向、风格可塑性、亲和感、利落感、成熟魅力、年轻感等。语言必须自然、真诚、专业，不油腻，不夸张，不虚假。后续发型建议必须建立在“放大优点、进一步优化”的逻辑上，而不是否定对方。

新增的科学分析模块

请加入一轮科学的头型与脸型分析。如果版式适合，优先采用横向报告布局。页面可分为左侧大面板与右侧多个小面板。

左侧大面板使用大型人物头部特写，清晰展示头型、脸型、发际线和整体轮廓。左侧主图上叠加优雅、克制、专业的几何分析元素，包括头型轮廓线、垂直中心线、水平引导线、宽度标记、比例辅助线、关键结构点、简洁文字注释。所有分析叠加必须像高端造型咨询图，精致、轻盈、现代，不能廉价、不能像医疗示意图、不能过重过乱。

请在左侧分析区域附近加入“头型与脸型分析总结”。这一部分要根据具体人物智能生成，概括额头宽度、颊部与太阳穴区域、下颌与下巴特征、脸部横向与纵向比例、整体轮廓印象、面部量感与视觉重心，并进一步提炼本人的造型目标。例如视觉拉长头型、提升顶部高度、减少两侧宽度、增强纵向比例、增加轻盈感和层次感、强化轮廓清晰度、让整体更精神、更协调、更时尚。这里的造型目标必须由分析自然推导出来，不能空喊口号。

版式要求

画面的宽度、高度、比例、布局方式必须根据内容数量、内容密度与空间规划灵活适应，不要机械固定比例，除非用户明确指定比例或版式方向。
如果内容更适合展示分析逻辑、人物头部特写与多个信息模块，则优先采用横向报告布局。
如果内容较多，也可以智能拉宽或拉长版面，但整体必须仍然像高级海报，而不是杂乱长图。
绝不允许出现图片拉伸、脸部畸变、头型失真、发型比例崩坏。
所有发型展示图都要裁切合理，确保头发完整可见、脸部比例自然、肩颈关系舒服。
模块之间留白明确，信息层级清晰，版式科学，不能拥挤。
整体视觉要像高端咨询海报、精品沙龙提案、时尚形象分析板，而不是低端电商长图。
整体风格必须明亮、现代、精致、时尚、可信，不压抑，不土气，不昏暗。
主色调以米白、暖白、浅灰、浅卡其、雾感中性色为主，可搭配少量精致点缀色。
字体要现代、清晰、时尚，有设计感但易读。标题可以更有气质，正文必须可读。
整体必须具备海报级呈现效果，拿出去能建立信任感。

内容结构

整张图至少包含以下内容，并根据版式灵活组织。

第一部分，主标题区。标题要高级、有吸引力，例如“专属发型诊断报告”“你的发型适配分析”“个人发型优化提案”等。副标题可简洁说明：基于脸型、头型、骨相、发质、气质与现实可行性生成的个性化建议。

第二部分，人物优势解读区。简短夸赞和概括人物优点，语气要有情商，也要有专业感。

第三部分，头型与脸型科学分析区。展示左侧主图分析和总结性文字。要明确写出轮廓特征与造型目标。这一模块必须认真做，不能敷衍。

第四部分，十二个推荐发型。必须严格是十二个，不多不少。每一个推荐发型都必须包含以下信息：发型展示图，发型名称，适配度评分，格式必须明确写成“适配度：9.2分”；推荐理由，说明它如何优化轮廓、强化气质、适应场景、提升整体观感；适配关键词，例如通勤友好、减龄自然、精致高级、温柔知性、利落清爽、层次感强、氛围感好等，但不要过多；难度或维护提示，例如“好打理”“需要吹整”“需要定期修剪”“需轻烫辅助”“更适合发量较多者”“建议蓄长后尝试”等。十二个推荐发型之间必须拉开差异，不要十二个都像同一个发型的小改款，但也不能脱离人物本身条件乱跳。

推荐发型的差异可以体现在分线方式、顶部长度、两侧处理、刘海形式、层次轻重、纹理强弱、发尾表达、直发或轻卷、正式或休闲、温柔或利落、年轻或成熟等方向上。所有差异都要建立在“适合这个人”的基础上。

第五部分，最终结论区。请给出最终最值得优先尝试的前三名发型，并总结原因。这一部分要像造型顾问的明确结论，而不是模糊态度。要说明最适合形象升级的方向、最稳妥的长期选择、最容易落地的优先方案。

第六部分，后续维护建议。内容包括修剪周期建议、吹整建议、造型产品建议、日常整理建议、不同推荐发型的维护难度差异。要简洁实用。

第七部分，头发养护建议。内容包括洗护建议、头皮护理建议、发质修护建议、减少毛躁、扁塌、出油、干枯等问题的建议，以及饮食、作息、生活方式的基础建议。语言要通俗、可信、简洁，不要像医学论文，也不要像空泛鸡汤。

推荐逻辑强化要求

十二个发型必须显得比普通模板推荐更精准。推荐不能只是“看起来差不多就放进去”，而要让人感觉这些发型是由严谨分析推导出来的。
如果某个发型只是勉强成立，宁可不要列入十二个推荐，也不要为了凑满数量而降低质量。
可以将十二个推荐在内部隐性分层，例如“最优先推荐”“稳定适配”“可进阶尝试”，但整体仍然都是正向推荐，而不是黑榜。
每个推荐都要让人感觉“这是可以认真考虑、真正可做的方案”，而不是纸上谈兵。

人物与服装规则

核心人物必须基于用户上传的真实照片进行分析与重构，保留人物辨识度与主要气质，不要变成完全不同的人。
发型变化时，人物的身份与气质要保持统一，不能十二个发型看起来像十二个不同的人。
照片中的穿着不一定要和原始照片完全一致。
如果用户明确要求服装变化，则可以根据不同发型调整服装风格。
如果用户没有明确要求服装变化，则保持服装统一，形成专业整洁的系列感。
服装只能辅助整体形象，不可喧宾夺主。
如果人物年龄、身份或文化背景不适合过度时装化，请保持克制与得体。

摄影与成像质量要求

所有发型展示图都必须有真实、高级、可信的人像摄影质感。
光线柔和但清晰，肤质真实细腻，发丝结构清楚。
背景简洁明亮，不能阴沉压抑，不能黑闷脏乱。
观感接近高端日韩摄影工作室与高端形象照的结合。
不要做成低质证件照，也不要做成浮夸大片，而是介于专业形象照与精品咨询图之间。

文字质量要求

全部文字必须真实可读、逻辑通顺、没有乱码。
文字必须专业、自然、有信息量，不机械，不空洞，不土气。
所有分析、推荐、评分都必须让人一眼看出是有依据的。
评分文字必须一眼能看懂，例如“适配度：9.3分”。
整体要建立信任感、专业感、审美品位与实用价值。

最终输出要求

输出为一张高完成度的大图海报。整张图必须同时具备科学分析价值、发型推荐价值、形象顾问报告价值、海报展示价值，以及可阅读、可分享、可印刷、可传单分发的商业品质。

请在开始生成前，先基于用户上传的照片进行智能判断，然后输出完整结果。

用户输入内容

请上传一张清晰的人像照片，生活照也可以，正面、半侧面、日常自拍、他拍都可以，但尽量保证脸部、头发、头型轮廓清楚可见。
可选补充：你的性别、年龄段、职业或风格偏好。
可选补充：是否希望服装跟随不同发型变化。
可选补充：是否有想尝试的发型方向，或明确不想要的风格。
可选补充：你更重视日常好打理、提升气质、显年轻、显成熟、正式感、时尚感，还是个性表达。",https://opennana.com/awesome-prompt-gallery/professional-hair-style
柔光八零年代中国女孩一日分镜,https://img.opennana.com/prompts/assets/202604/1777289832460-2frng6n9-1777289834831-1.jpeg,,"Create a high-quality cinematic storyboard in a soft 1980s-inspired aesthetic, featuring a young adult Chinese woman in her early 20s, with no text anywhere in the image. Use a warm nostalgic visual language with soft film grain, pastel colors, golden sunlight, subtle neon accents, and retro photography styling.

The character should wear authentic 1980s-inspired outfits across the scenes, such as high-waisted jeans, denim jackets, oversized blazers, graphic tees, scrunchies, retro sneakers, and soft vintage makeup with voluminous hairstyle details.

Design the storyboard in a 16:9 layout with 8 panels, showing a concise day-in-the-life sequence with cinematic storytelling:
- waking up in a sunlit bedroom with sheer curtains
- getting ready in front of a mirror
- walking through a lively street with vintage cars and old shop signs
- listening to music with headphones or a cassette player
- relaxing in a cozy café or retro diner
- riding a bike or enjoying an open-road moment in golden light
- sharing a warm candid smile with friends at sunset
- ending in a peaceful nighttime scene with soft neon glow or city lights

Use a mix of wide shots, close-ups, side angles, and POV-style compositions. Focus on natural expressions, candid emotional moments, soft lighting, gentle motion blur, and a dreamy retro mood throughout. No text, no subtitles, no logos, no branding.

视频提示词：

[图片 1] Create a 8-second cinematic video in a soft 1980s-inspired aesthetic, featuring a young adult Chinese woman in her early 20s going through a few nostalgic moments in her day. She has a natural, charming appearance and wears authentic 1980s-inspired outfits such as an oversized denim jacket, high-waisted jeans, a loose shirt, retro sneakers, scrunchies, and bold vintage accessories.Use soft film grain, warm sunlight, pastel tones, and subtle neon lighting to create a dreamy retro mood. Keep the pacing concise and smooth, with elegant transitions and visually rich storytelling suitable for a short 7-second sequence.Suggested sequence:1. Morning — she wakes up in a sunlit bedroom, sheer curtains moving gently in the breeze.2. Getting ready — a quick mirror moment, adjusting her outfit or lightly touching up makeup.3. Daytime street — she walks confidently along a lively retro street with old cars and vintage storefronts.4. Music / freedom moment — a brief shot of her listening to music through headphones or riding a bike in warm golden light.5. Ending — a calm evening or night shot near a window or neon-lit street, creating a soft reflective finish.Use smooth camera movement, a mix of wide shots, medium shots, and close-ups, with subtle slow-motion feeling in emotional moments. Focus on natural expressions, soft lighting, and a warm nostalgic atmosphere. No text, no logos, no branding.",https://opennana.com/awesome-prompt-gallery/soft-80s-chinese-girl-storyboard
极致运动美学着陆页,https://img.opennana.com/prompts/assets/202604/1777289997974-5orhweq9-1777290000306-1.jpeg,"Premium activewear landing page, female model in sleek gym set mid-motion, “PixPretty Active”, clean light gray background, floating product cards (leggings, tops, shoes), performance-focused UI sections, bold typography “MOVE”, dynamic lighting, modern sporty aesthetic, 1:1",高端运动服着陆页，身着时尚运动套装动作进行中的女性模特，“PixPretty Active”，干净的浅灰色背景，悬浮的产品卡片（紧身裤、上衣、鞋子），注重性能的UI部分，粗体排版“MOVE”，动态照明，现代运动美学，1:1,https://opennana.com/awesome-prompt-gallery/ultimate-sporty-aesthetic
温柔清新高级刺绣图,https://img.opennana.com/prompts/assets/202604/1777290041117-rxjup437-1777290044085-1.jpeg,"Exquisite three-dimensional embroidery style illustration, bas-relief fiber art effect, pure ""silkworm white + milky white"" background color, delicate silk thread texture. The picture shows several small birds perched on winding floral branches, surrounded by pink-white, light peach, coral pink, and pale gold flowers and leaves, with a light and elegant composition and ample negative space. The birds' feathers are expressed in milky white, light blue, light pink, and light gold silk thread embroidery, the floral branches are slender and natural, the flowers are layered with threads, presenting an overall artistic effect of high-end handmade embroidery, silk thread stumpwork, soft light and shadow, rich details, gentle and fresh.",精致立体刺绣风插画，浅浮雕纤维艺术效果，纯净「蚕丝白 + 奶白」底色，细腻丝线质感。画面为数只小鸟停在蜿蜒花枝上，周围点缀粉白、浅桃、珊瑚粉、淡金色花朵与叶片，构图轻盈雅致、留白充足。鸟儿羽毛以奶白、浅蓝、淡粉、浅金丝线刺绣表现，花枝纤细自然，花朵层层叠线，整体呈现高级手工刺绣、丝线堆绣、柔和光影、细节丰富、温柔清新的艺术效果。,https://opennana.com/awesome-prompt-gallery/gentle-silk-stumpwork-birds
